"","POVST","Q17G"
"55","(4) 76 percent or more","(3) Moderately adequate"
"56","(2) 26 to 50 percent","(4) Completely adequate"
"57","(3) 51 to 75 percent","(3) Moderately adequate"
"58","(2) 26 to 50 percent","(3) Moderately adequate"
"59","(1) 25 percent or less","(4) Completely adequate"
"60","(4) 76 percent or more","(3) Moderately adequate"
"61","(1) 25 percent or less","(3) Moderately adequate"
"62","(1) 25 percent or less","(4) Completely adequate"
"63","(4) 76 percent or more","(3) Moderately adequate"
"64","(3) 51 to 75 percent","(4) Completely adequate"
"65","(3) 51 to 75 percent","(3) Moderately adequate"
"66","(2) 26 to 50 percent","(2) Minimally adequate"
"67","(1) 25 percent or less","(4) Completely adequate"
"68","(1) 25 percent or less","(4) Completely adequate"
"69","(3) 51 to 75 percent","(3) Moderately adequate"
"70","(3) 51 to 75 percent","(3) Moderately adequate"
"71","(4) 76 percent or more","(3) Moderately adequate"
"72","(4) 76 percent or more","(2) Minimally adequate"
"73","(4) 76 percent or more","(2) Minimally adequate"
"74","(2) 26 to 50 percent","(2) Minimally adequate"
"75","(4) 76 percent or more","(4) Completely adequate"
"76","(1) 25 percent or less","(4) Completely adequate"
"77","(4) 76 percent or more","(1) Not at all adequate"
"78","(3) 51 to 75 percent","(3) Moderately adequate"
"79","(3) 51 to 75 percent","(3) Moderately adequate"
"80","(1) 25 percent or less","(4) Completely adequate"
"81","(4) 76 percent or more","(1) Not at all adequate"
"82","(2) 26 to 50 percent","(3) Moderately adequate"
"83","(3) 51 to 75 percent","(3) Moderately adequate"
"84","(2) 26 to 50 percent","(3) Moderately adequate"
"85","(1) 25 percent or less","(3) Moderately adequate"
"86","(1) 25 percent or less","(3) Moderately adequate"
"87","(1) 25 percent or less","(3) Moderately adequate"
"88","(4) 76 percent or more","(3) Moderately adequate"
"89","(1) 25 percent or less","(2) Minimally adequate"
"90","(1) 25 percent or less","(4) Completely adequate"
"91","(1) 25 percent or less","(2) Minimally adequate"
"92","(3) 51 to 75 percent","(3) Moderately adequate"
"93","(4) 76 percent or more","(3) Moderately adequate"
"94","(4) 76 percent or more","(3) Moderately adequate"
"95","(3) 51 to 75 percent","(2) Minimally adequate"
"96","(2) 26 to 50 percent","(2) Minimally adequate"
"97","(2) 26 to 50 percent","(2) Minimally adequate"
"98","(2) 26 to 50 percent","(2) Minimally adequate"
"99","(2) 26 to 50 percent","(2) Minimally adequate"
"100","(4) 76 percent or more","(2) Minimally adequate"
"101","(3) 51 to 75 percent","(1) Not at all adequate"
"102","(1) 25 percent or less","(3) Moderately adequate"
"103","(2) 26 to 50 percent","(3) Moderately adequate"
"104","(1) 25 percent or less","(3) Moderately adequate"
"105","(2) 26 to 50 percent","(2) Minimally adequate"
"106","(4) 76 percent or more","(4) Completely adequate"
"107","(1) 25 percent or less","(4) Completely adequate"
"108","(2) 26 to 50 percent","(3) Moderately adequate"
"109","(2) 26 to 50 percent","(4) Completely adequate"
"110","(4) 76 percent or more","(3) Moderately adequate"
"111","(3) 51 to 75 percent","(4) Completely adequate"
"112","(4) 76 percent or more","(3) Moderately adequate"
"113","(4) 76 percent or more","(3) Moderately adequate"
"114","(3) 51 to 75 percent","(2) Minimally adequate"
"115","(2) 26 to 50 percent","(3) Moderately adequate"
"116","(2) 26 to 50 percent","(3) Moderately adequate"
"117","(1) 25 percent or less","(4) Completely adequate"
"118",NA,"(2) Minimally adequate"
"119","(2) 26 to 50 percent","(3) Moderately adequate"
"120","(3) 51 to 75 percent","(3) Moderately adequate"
"121","(3) 51 to 75 percent","(3) Moderately adequate"
"122","(3) 51 to 75 percent","(3) Moderately adequate"
"123","(4) 76 percent or more","(2) Minimally adequate"
"124","(4) 76 percent or more","(1) Not at all adequate"
"125","(1) 25 percent or less","(4) Completely adequate"
"126","(2) 26 to 50 percent","(3) Moderately adequate"
"127","(3) 51 to 75 percent","(3) Moderately adequate"
"128","(2) 26 to 50 percent","(3) Moderately adequate"
"129","(1) 25 percent or less","(3) Moderately adequate"
"130","(1) 25 percent or less","(2) Minimally adequate"
"131","(3) 51 to 75 percent","(2) Minimally adequate"
"132","(4) 76 percent or more","(4) Completely adequate"
"133","(3) 51 to 75 percent","(3) Moderately adequate"
"134","(2) 26 to 50 percent","(4) Completely adequate"
"135","(3) 51 to 75 percent","(3) Moderately adequate"
"136","(3) 51 to 75 percent","(3) Moderately adequate"
"137","(4) 76 percent or more","(4) Completely adequate"
"138","(1) 25 percent or less","(4) Completely adequate"
"139","(1) 25 percent or less","(4) Completely adequate"
"140","(1) 25 percent or less","(2) Minimally adequate"
"141","(2) 26 to 50 percent","(3) Moderately adequate"
"142","(3) 51 to 75 percent","(3) Moderately adequate"
"143","(3) 51 to 75 percent","(2) Minimally adequate"
"144","(3) 51 to 75 percent","(2) Minimally adequate"
"145","(4) 76 percent or more","(3) Moderately adequate"
"146","(3) 51 to 75 percent","(3) Moderately adequate"
"147","(2) 26 to 50 percent","(2) Minimally adequate"
"148","(1) 25 percent or less","(3) Moderately adequate"
"149","(1) 25 percent or less","(3) Moderately adequate"
"150","(2) 26 to 50 percent","(3) Moderately adequate"
"151","(3) 51 to 75 percent","(3) Moderately adequate"
"152","(2) 26 to 50 percent","(4) Completely adequate"
"153","(1) 25 percent or less","(4) Completely adequate"
"154","(1) 25 percent or less","(4) Completely adequate"
"155","(3) 51 to 75 percent","(2) Minimally adequate"
"156","(2) 26 to 50 percent","(3) Moderately adequate"
"157","(4) 76 percent or more","(3) Moderately adequate"
"158","(4) 76 percent or more","(4) Completely adequate"
"159","(2) 26 to 50 percent","(3) Moderately adequate"
"160","(1) 25 percent or less","(3) Moderately adequate"
"161","(1) 25 percent or less","(2) Minimally adequate"
"162","(4) 76 percent or more","(4) Completely adequate"
"163","(4) 76 percent or more","(2) Minimally adequate"
"164","(2) 26 to 50 percent","(3) Moderately adequate"
"165","(4) 76 percent or more","(4) Completely adequate"
"166","(2) 26 to 50 percent","(1) Not at all adequate"
"167","(3) 51 to 75 percent","(3) Moderately adequate"
"168","(3) 51 to 75 percent","(4) Completely adequate"
"169","(3) 51 to 75 percent","(2) Minimally adequate"
"170","(3) 51 to 75 percent","(3) Moderately adequate"
"171","(3) 51 to 75 percent","(3) Moderately adequate"
"172","(3) 51 to 75 percent","(2) Minimally adequate"
"173","(2) 26 to 50 percent","(2) Minimally adequate"
"174","(2) 26 to 50 percent","(2) Minimally adequate"
"175","(1) 25 percent or less","(3) Moderately adequate"
"176","(1) 25 percent or less","(4) Completely adequate"
"177","(4) 76 percent or more","(2) Minimally adequate"
"178","(3) 51 to 75 percent","(2) Minimally adequate"
"179","(4) 76 percent or more","(4) Completely adequate"
"180","(1) 25 percent or less","(4) Completely adequate"
"181","(2) 26 to 50 percent","(3) Moderately adequate"
"182","(4) 76 percent or more","(4) Completely adequate"
"183","(3) 51 to 75 percent","(3) Moderately adequate"
"184","(2) 26 to 50 percent","(1) Not at all adequate"
"185","(1) 25 percent or less","(3) Moderately adequate"
"186","(2) 26 to 50 percent","(3) Moderately adequate"
"187","(3) 51 to 75 percent","(3) Moderately adequate"
"188","(2) 26 to 50 percent","(4) Completely adequate"
"189","(2) 26 to 50 percent","(2) Minimally adequate"
"190","(3) 51 to 75 percent","(4) Completely adequate"
"191","(2) 26 to 50 percent","(3) Moderately adequate"
"192","(3) 51 to 75 percent","(4) Completely adequate"
"193","(3) 51 to 75 percent","(4) Completely adequate"
"194","(4) 76 percent or more","(3) Moderately adequate"
"195","(1) 25 percent or less","(3) Moderately adequate"
"196","(4) 76 percent or more","(3) Moderately adequate"
"197","(3) 51 to 75 percent","(4) Completely adequate"
"198","(4) 76 percent or more","(1) Not at all adequate"
"199","(1) 25 percent or less","(3) Moderately adequate"
"200","(1) 25 percent or less","(3) Moderately adequate"
"201","(4) 76 percent or more","(1) Not at all adequate"
"202","(3) 51 to 75 percent","(2) Minimally adequate"
"203","(4) 76 percent or more","(2) Minimally adequate"
"204","(2) 26 to 50 percent","(3) Moderately adequate"
"205","(1) 25 percent or less","(3) Moderately adequate"
"206","(3) 51 to 75 percent","(3) Moderately adequate"
"207","(3) 51 to 75 percent","(4) Completely adequate"
"208","(2) 26 to 50 percent","(4) Completely adequate"
"209","(4) 76 percent or more","(1) Not at all adequate"
"210","(1) 25 percent or less","(4) Completely adequate"
"211","(3) 51 to 75 percent","(2) Minimally adequate"
"212","(2) 26 to 50 percent","(2) Minimally adequate"
"213","(3) 51 to 75 percent","(4) Completely adequate"
"214","(4) 76 percent or more","(4) Completely adequate"
"215","(4) 76 percent or more","(2) Minimally adequate"
"216","(1) 25 percent or less","(3) Moderately adequate"
"217","(3) 51 to 75 percent","(3) Moderately adequate"
"218","(3) 51 to 75 percent","(3) Moderately adequate"
"219","(2) 26 to 50 percent","(4) Completely adequate"
"220","(2) 26 to 50 percent","(4) Completely adequate"
"221","(2) 26 to 50 percent","(4) Completely adequate"
"222","(2) 26 to 50 percent","(3) Moderately adequate"
"223","(4) 76 percent or more","(2) Minimally adequate"
"224","(1) 25 percent or less","(4) Completely adequate"
"225","(3) 51 to 75 percent","(3) Moderately adequate"
"226","(1) 25 percent or less","(4) Completely adequate"
"227","(4) 76 percent or more","(4) Completely adequate"
"228","(2) 26 to 50 percent","(3) Moderately adequate"
"229","(1) 25 percent or less","(4) Completely adequate"
"230","(2) 26 to 50 percent","(3) Moderately adequate"
"231","(2) 26 to 50 percent","(3) Moderately adequate"
"232","(4) 76 percent or more","(3) Moderately adequate"
"233","(3) 51 to 75 percent","(2) Minimally adequate"
"234","(4) 76 percent or more","(4) Completely adequate"
"235","(3) 51 to 75 percent","(4) Completely adequate"
"236","(1) 25 percent or less","(4) Completely adequate"
"237","(2) 26 to 50 percent","(3) Moderately adequate"
"238","(1) 25 percent or less","(4) Completely adequate"
"239","(3) 51 to 75 percent","(3) Moderately adequate"
"240","(4) 76 percent or more","(4) Completely adequate"
"241","(4) 76 percent or more","(3) Moderately adequate"
"242","(4) 76 percent or more","(3) Moderately adequate"
"243","(1) 25 percent or less","(2) Minimally adequate"
"244","(3) 51 to 75 percent","(4) Completely adequate"
"245","(1) 25 percent or less","(3) Moderately adequate"
"246","(3) 51 to 75 percent","(2) Minimally adequate"
"247","(3) 51 to 75 percent","(3) Moderately adequate"
"248","(3) 51 to 75 percent","(2) Minimally adequate"
"249","(2) 26 to 50 percent","(2) Minimally adequate"
"250","(4) 76 percent or more","(2) Minimally adequate"
"251","(2) 26 to 50 percent","(3) Moderately adequate"
"252","(3) 51 to 75 percent","(2) Minimally adequate"
"253","(1) 25 percent or less","(4) Completely adequate"
"254","(1) 25 percent or less","(3) Moderately adequate"
"255","(1) 25 percent or less","(4) Completely adequate"
"256","(2) 26 to 50 percent","(4) Completely adequate"
"257","(3) 51 to 75 percent","(3) Moderately adequate"
"258","(4) 76 percent or more","(2) Minimally adequate"
"259","(2) 26 to 50 percent","(3) Moderately adequate"
"260","(4) 76 percent or more","(2) Minimally adequate"
"261","(2) 26 to 50 percent","(2) Minimally adequate"
"262","(4) 76 percent or more","(4) Completely adequate"
"263","(1) 25 percent or less","(2) Minimally adequate"
"264","(3) 51 to 75 percent","(4) Completely adequate"
"265","(2) 26 to 50 percent","(1) Not at all adequate"
"266","(2) 26 to 50 percent","(4) Completely adequate"
"267","(1) 25 percent or less","(3) Moderately adequate"
"268","(1) 25 percent or less","(4) Completely adequate"
"269","(3) 51 to 75 percent","(3) Moderately adequate"
"270","(1) 25 percent or less","(4) Completely adequate"
"271","(4) 76 percent or more","(2) Minimally adequate"
"272","(4) 76 percent or more","(2) Minimally adequate"
"273","(2) 26 to 50 percent","(3) Moderately adequate"
"274","(2) 26 to 50 percent","(4) Completely adequate"
"275","(3) 51 to 75 percent","(3) Moderately adequate"
"276","(2) 26 to 50 percent","(2) Minimally adequate"
"277","(3) 51 to 75 percent","(4) Completely adequate"
"278","(4) 76 percent or more","(3) Moderately adequate"
"279","(1) 25 percent or less","(3) Moderately adequate"
"280","(1) 25 percent or less","(4) Completely adequate"
"281","(4) 76 percent or more","(3) Moderately adequate"
"282","(2) 26 to 50 percent","(3) Moderately adequate"
"283","(3) 51 to 75 percent","(3) Moderately adequate"
"284","(3) 51 to 75 percent","(2) Minimally adequate"
"285","(2) 26 to 50 percent","(4) Completely adequate"
"286","(2) 26 to 50 percent","(4) Completely adequate"
"287","(1) 25 percent or less","(3) Moderately adequate"
"288","(2) 26 to 50 percent","(2) Minimally adequate"
"289","(1) 25 percent or less","(4) Completely adequate"
"290","(3) 51 to 75 percent","(4) Completely adequate"
"291","(1) 25 percent or less","(4) Completely adequate"
"292","(3) 51 to 75 percent","(3) Moderately adequate"
"293","(4) 76 percent or more","(2) Minimally adequate"
"294","(3) 51 to 75 percent","(4) Completely adequate"
"295","(4) 76 percent or more","(1) Not at all adequate"
"296","(1) 25 percent or less","(4) Completely adequate"
"297","(3) 51 to 75 percent","(3) Moderately adequate"
"298","(2) 26 to 50 percent","(4) Completely adequate"
"299","(3) 51 to 75 percent","(1) Not at all adequate"
"300","(2) 26 to 50 percent","(3) Moderately adequate"
"301","(1) 25 percent or less","(4) Completely adequate"
"302","(4) 76 percent or more","(4) Completely adequate"
"303","(2) 26 to 50 percent","(4) Completely adequate"
"304","(2) 26 to 50 percent","(2) Minimally adequate"
"305","(2) 26 to 50 percent","(3) Moderately adequate"
"306","(2) 26 to 50 percent","(2) Minimally adequate"
"307","(1) 25 percent or less","(4) Completely adequate"
"308","(4) 76 percent or more","(3) Moderately adequate"
"309","(3) 51 to 75 percent","(3) Moderately adequate"
"310","(4) 76 percent or more","(2) Minimally adequate"
"311","(4) 76 percent or more","(2) Minimally adequate"
"312","(2) 26 to 50 percent","(4) Completely adequate"
"313","(1) 25 percent or less","(3) Moderately adequate"
"314","(3) 51 to 75 percent","(4) Completely adequate"
"315","(2) 26 to 50 percent","(4) Completely adequate"
"316","(4) 76 percent or more","(1) Not at all adequate"
"317","(2) 26 to 50 percent","(3) Moderately adequate"
"318","(1) 25 percent or less","(4) Completely adequate"
"319","(1) 25 percent or less","(3) Moderately adequate"
"320","(1) 25 percent or less","(2) Minimally adequate"
"321","(3) 51 to 75 percent","(2) Minimally adequate"
"322","(1) 25 percent or less","(4) Completely adequate"
"323","(1) 25 percent or less","(3) Moderately adequate"
"324","(1) 25 percent or less","(4) Completely adequate"
"325","(2) 26 to 50 percent","(2) Minimally adequate"
"326","(2) 26 to 50 percent","(4) Completely adequate"
"327","(2) 26 to 50 percent","(2) Minimally adequate"
"328","(1) 25 percent or less","(2) Minimally adequate"
"329","(1) 25 percent or less","(3) Moderately adequate"
"330","(4) 76 percent or more","(2) Minimally adequate"
"331","(1) 25 percent or less","(1) Not at all adequate"
"332","(4) 76 percent or more","(1) Not at all adequate"
"333","(4) 76 percent or more","(4) Completely adequate"
"334","(4) 76 percent or more","(3) Moderately adequate"
"335","(1) 25 percent or less","(3) Moderately adequate"
"336","(4) 76 percent or more","(4) Completely adequate"
"337","(1) 25 percent or less","(4) Completely adequate"
"338","(1) 25 percent or less","(4) Completely adequate"
"339","(2) 26 to 50 percent","(3) Moderately adequate"
"340","(3) 51 to 75 percent","(1) Not at all adequate"
"341","(4) 76 percent or more","(3) Moderately adequate"
"342","(1) 25 percent or less","(3) Moderately adequate"
"343","(3) 51 to 75 percent","(3) Moderately adequate"
"344","(2) 26 to 50 percent","(3) Moderately adequate"
"345","(4) 76 percent or more","(4) Completely adequate"
"346","(2) 26 to 50 percent","(3) Moderately adequate"
"347","(2) 26 to 50 percent","(4) Completely adequate"
"348","(1) 25 percent or less","(4) Completely adequate"
"349","(2) 26 to 50 percent","(2) Minimally adequate"
"350","(4) 76 percent or more","(3) Moderately adequate"
"351","(1) 25 percent or less","(3) Moderately adequate"
"352","(4) 76 percent or more","(4) Completely adequate"
"353","(3) 51 to 75 percent","(2) Minimally adequate"
"354","(4) 76 percent or more","(3) Moderately adequate"
"355","(3) 51 to 75 percent","(1) Not at all adequate"
"356","(3) 51 to 75 percent","(4) Completely adequate"
"357","(2) 26 to 50 percent","(3) Moderately adequate"
"358","(3) 51 to 75 percent","(3) Moderately adequate"
"359","(4) 76 percent or more","(2) Minimally adequate"
"360","(1) 25 percent or less","(4) Completely adequate"
"361","(1) 25 percent or less","(4) Completely adequate"
"362","(2) 26 to 50 percent","(3) Moderately adequate"
"363","(2) 26 to 50 percent","(3) Moderately adequate"
"364","(2) 26 to 50 percent","(4) Completely adequate"
"365","(4) 76 percent or more","(4) Completely adequate"
"366","(3) 51 to 75 percent","(4) Completely adequate"
"367","(2) 26 to 50 percent","(3) Moderately adequate"
"368","(2) 26 to 50 percent","(3) Moderately adequate"
"369","(1) 25 percent or less","(3) Moderately adequate"
"370","(2) 26 to 50 percent","(2) Minimally adequate"
"371","(3) 51 to 75 percent","(3) Moderately adequate"
"372","(2) 26 to 50 percent","(4) Completely adequate"
"373","(2) 26 to 50 percent","(3) Moderately adequate"
"374","(4) 76 percent or more","(3) Moderately adequate"
"375","(4) 76 percent or more","(3) Moderately adequate"
"376","(1) 25 percent or less","(3) Moderately adequate"
"377","(4) 76 percent or more","(3) Moderately adequate"
"378","(4) 76 percent or more","(2) Minimally adequate"
"379","(3) 51 to 75 percent","(4) Completely adequate"
"380","(2) 26 to 50 percent","(3) Moderately adequate"
"381","(3) 51 to 75 percent","(4) Completely adequate"
"382","(3) 51 to 75 percent","(4) Completely adequate"
"383","(2) 26 to 50 percent","(4) Completely adequate"
"384","(1) 25 percent or less","(3) Moderately adequate"
"385","(1) 25 percent or less","(4) Completely adequate"
"386","(3) 51 to 75 percent","(3) Moderately adequate"
"387","(2) 26 to 50 percent","(4) Completely adequate"
"388","(3) 51 to 75 percent","(2) Minimally adequate"
"389","(2) 26 to 50 percent","(4) Completely adequate"
"390","(1) 25 percent or less","(4) Completely adequate"
"391","(3) 51 to 75 percent","(2) Minimally adequate"
"392","(1) 25 percent or less","(4) Completely adequate"
"393","(3) 51 to 75 percent","(3) Moderately adequate"
"394","(3) 51 to 75 percent","(4) Completely adequate"
"395","(3) 51 to 75 percent","(1) Not at all adequate"
"396","(2) 26 to 50 percent","(2) Minimally adequate"
"397","(4) 76 percent or more","(3) Moderately adequate"
"398","(1) 25 percent or less","(3) Moderately adequate"
"399","(2) 26 to 50 percent","(2) Minimally adequate"
"400","(2) 26 to 50 percent","(4) Completely adequate"
"401","(1) 25 percent or less","(3) Moderately adequate"
"402","(1) 25 percent or less","(4) Completely adequate"
"403","(3) 51 to 75 percent","(1) Not at all adequate"
"404","(2) 26 to 50 percent","(4) Completely adequate"
"405","(2) 26 to 50 percent","(4) Completely adequate"
"406","(2) 26 to 50 percent","(3) Moderately adequate"
"407","(3) 51 to 75 percent","(3) Moderately adequate"
"408","(3) 51 to 75 percent","(2) Minimally adequate"
"409","(1) 25 percent or less","(1) Not at all adequate"
"410","(4) 76 percent or more","(1) Not at all adequate"
"411","(1) 25 percent or less","(4) Completely adequate"
"412","(3) 51 to 75 percent","(3) Moderately adequate"
"413","(4) 76 percent or more","(4) Completely adequate"
"414","(2) 26 to 50 percent","(4) Completely adequate"
"415","(1) 25 percent or less","(3) Moderately adequate"
"416","(1) 25 percent or less","(2) Minimally adequate"
"417","(1) 25 percent or less","(1) Not at all adequate"
"418","(3) 51 to 75 percent","(3) Moderately adequate"
"419","(4) 76 percent or more","(4) Completely adequate"
"420","(2) 26 to 50 percent","(2) Minimally adequate"
"421","(4) 76 percent or more","(3) Moderately adequate"
"422","(3) 51 to 75 percent","(3) Moderately adequate"
"423","(2) 26 to 50 percent","(3) Moderately adequate"
"424","(4) 76 percent or more","(4) Completely adequate"
"425","(3) 51 to 75 percent","(3) Moderately adequate"
"426","(2) 26 to 50 percent","(4) Completely adequate"
"427","(2) 26 to 50 percent","(2) Minimally adequate"
"428","(1) 25 percent or less","(4) Completely adequate"
"429","(3) 51 to 75 percent","(2) Minimally adequate"
"430","(1) 25 percent or less","(2) Minimally adequate"
"431","(3) 51 to 75 percent","(4) Completely adequate"
"432","(2) 26 to 50 percent","(1) Not at all adequate"
"433","(2) 26 to 50 percent","(2) Minimally adequate"
"434","(4) 76 percent or more","(2) Minimally adequate"
"435","(3) 51 to 75 percent","(3) Moderately adequate"
"436","(3) 51 to 75 percent","(4) Completely adequate"
"437","(1) 25 percent or less","(3) Moderately adequate"
"438","(1) 25 percent or less","(3) Moderately adequate"
"439","(1) 25 percent or less","(4) Completely adequate"
"440","(2) 26 to 50 percent","(2) Minimally adequate"
"441","(1) 25 percent or less","(4) Completely adequate"
"442","(1) 25 percent or less","(4) Completely adequate"
"443","(4) 76 percent or more","(4) Completely adequate"
"444","(2) 26 to 50 percent","(3) Moderately adequate"
"445","(2) 26 to 50 percent","(3) Moderately adequate"
"446","(2) 26 to 50 percent","(3) Moderately adequate"
"447","(2) 26 to 50 percent","(4) Completely adequate"
"448","(2) 26 to 50 percent","(4) Completely adequate"
"449","(1) 25 percent or less","(3) Moderately adequate"
"450","(3) 51 to 75 percent","(4) Completely adequate"
"451","(2) 26 to 50 percent","(2) Minimally adequate"
"452","(2) 26 to 50 percent","(4) Completely adequate"
"453","(2) 26 to 50 percent","(3) Moderately adequate"
"454","(4) 76 percent or more","(3) Moderately adequate"
"455","(2) 26 to 50 percent","(4) Completely adequate"
"456","(4) 76 percent or more","(2) Minimally adequate"
"457",NA,"(2) Minimally adequate"
"458","(1) 25 percent or less","(4) Completely adequate"
"459","(1) 25 percent or less","(4) Completely adequate"
"460","(3) 51 to 75 percent","(2) Minimally adequate"
"461","(4) 76 percent or more","(3) Moderately adequate"
"462","(2) 26 to 50 percent","(4) Completely adequate"
"463","(3) 51 to 75 percent","(3) Moderately adequate"
"464","(4) 76 percent or more","(2) Minimally adequate"
"465","(2) 26 to 50 percent","(3) Moderately adequate"
"466","(1) 25 percent or less","(4) Completely adequate"
"467","(2) 26 to 50 percent","(4) Completely adequate"
"468","(1) 25 percent or less","(3) Moderately adequate"
"469","(4) 76 percent or more","(3) Moderately adequate"
"470","(4) 76 percent or more","(2) Minimally adequate"
"471","(4) 76 percent or more","(2) Minimally adequate"
"472","(4) 76 percent or more","(4) Completely adequate"
"473","(1) 25 percent or less","(4) Completely adequate"
"474","(2) 26 to 50 percent","(4) Completely adequate"
"475","(2) 26 to 50 percent","(4) Completely adequate"
"476","(2) 26 to 50 percent","(2) Minimally adequate"
"477","(1) 25 percent or less","(3) Moderately adequate"
"478","(4) 76 percent or more","(4) Completely adequate"
"479","(1) 25 percent or less","(3) Moderately adequate"
"480","(4) 76 percent or more","(4) Completely adequate"
"481","(1) 25 percent or less","(1) Not at all adequate"
"482","(4) 76 percent or more","(1) Not at all adequate"
"483","(3) 51 to 75 percent","(3) Moderately adequate"
"484","(2) 26 to 50 percent","(4) Completely adequate"
"485","(3) 51 to 75 percent","(3) Moderately adequate"
"486","(1) 25 percent or less","(4) Completely adequate"
"487","(2) 26 to 50 percent","(4) Completely adequate"
"488","(4) 76 percent or more","(4) Completely adequate"
"489","(3) 51 to 75 percent","(3) Moderately adequate"
"490","(4) 76 percent or more","(3) Moderately adequate"
"491","(4) 76 percent or more","(3) Moderately adequate"
"492","(2) 26 to 50 percent","(3) Moderately adequate"
"493","(3) 51 to 75 percent","(1) Not at all adequate"
"494","(4) 76 percent or more","(3) Moderately adequate"
"495","(3) 51 to 75 percent","(3) Moderately adequate"
"496","(1) 25 percent or less","(4) Completely adequate"
"497","(2) 26 to 50 percent","(3) Moderately adequate"
"498","(4) 76 percent or more","(4) Completely adequate"
"499","(2) 26 to 50 percent","(4) Completely adequate"
"500","(1) 25 percent or less","(2) Minimally adequate"
"501","(1) 25 percent or less","(3) Moderately adequate"
"502","(1) 25 percent or less","(2) Minimally adequate"
"503","(1) 25 percent or less","(4) Completely adequate"
"504","(3) 51 to 75 percent","(2) Minimally adequate"
"505","(2) 26 to 50 percent","(2) Minimally adequate"
"506","(4) 76 percent or more","(3) Moderately adequate"
"507","(1) 25 percent or less","(1) Not at all adequate"
"508","(1) 25 percent or less","(4) Completely adequate"
"509","(3) 51 to 75 percent","(3) Moderately adequate"
"510","(1) 25 percent or less","(4) Completely adequate"
"511","(3) 51 to 75 percent","(3) Moderately adequate"
"512","(4) 76 percent or more","(4) Completely adequate"
"513","(3) 51 to 75 percent","(3) Moderately adequate"
"514","(4) 76 percent or more","(3) Moderately adequate"
"515","(3) 51 to 75 percent","(4) Completely adequate"
"516","(2) 26 to 50 percent","(4) Completely adequate"
"517","(2) 26 to 50 percent","(4) Completely adequate"
"518","(1) 25 percent or less","(2) Minimally adequate"
"519","(4) 76 percent or more","(3) Moderately adequate"
"520","(2) 26 to 50 percent","(3) Moderately adequate"
"521","(2) 26 to 50 percent","(4) Completely adequate"
"522",NA,"(3) Moderately adequate"
"523","(1) 25 percent or less","(3) Moderately adequate"
"524","(2) 26 to 50 percent","(3) Moderately adequate"
