"","POVST","Q1A","Q1B","Q1C","Q1D"
"30","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"31","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"32","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"33","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"34","(3) 51 to 75 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"35","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"36","(1) 25 percent or less","(3) Once or twice a week","(1) Every day","(5) Not at all","(5) Not at all"
"37","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"38","(4) 76 percent or more","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"39","(3) 51 to 75 percent","(3) Once or twice a week","(4) Less than once a week","(3) Once or twice a week","(5) Not at all"
"40","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"41","(2) 26 to 50 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"42","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"43","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"44","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(4) Less than once a week"
"45","(3) 51 to 75 percent","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"46","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"47","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"48","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"49","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"50","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"51","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"52","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"53","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"54","(2) 26 to 50 percent","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"55","(2) 26 to 50 percent","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"56","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"57","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"58","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"59","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"60","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"61","(4) 76 percent or more","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"62","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"63","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(5) Not at all"
"64","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"65","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"66","(3) 51 to 75 percent","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"67","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"68","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"69","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"70","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"71","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(4) Less than once a week","(5) Not at all"
"72","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"73","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"74","(1) 25 percent or less","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"75","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"76","(2) 26 to 50 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"77","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week"
"78","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"79","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"80","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"81","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"82","(1) 25 percent or less","(4) Less than once a week","(1) Every day","(5) Not at all","(5) Not at all"
"83","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"84","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"85","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"86","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"87","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"88","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"89","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"90","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"91","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"92","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"93","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"94","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"95","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"96","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"97","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"98","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"99","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"100","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"101","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"102","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"103","(3) 51 to 75 percent","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"104","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"105","(4) 76 percent or more","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"106","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"107","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"108","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"109","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"110","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"111","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"112","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"113","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"114","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(5) Not at all"
"115","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"116","(1) 25 percent or less","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"117","(4) 76 percent or more","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"118","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"119","(4) 76 percent or more","(3) Once or twice a week","(4) Less than once a week","(4) Less than once a week","(5) Not at all"
"120","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"121","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"122","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"123","(1) 25 percent or less","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"124","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"125","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"126","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"127","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(4) Less than once a week"
"128","(2) 26 to 50 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"129","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"130","(1) 25 percent or less","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"131","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"132","(4) 76 percent or more","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"133","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"134","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"135","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"136","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"137","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"138","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"139","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"140","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"141","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"142","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"143","(4) 76 percent or more","(1) Every day","(1) Every day","(4) Less than once a week","(4) Less than once a week"
"144","(2) 26 to 50 percent","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"145","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"146","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"147","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"148","(1) 25 percent or less","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"149","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"150","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"151","(2) 26 to 50 percent","(1) Every day","(5) Not at all","(5) Not at all","(5) Not at all"
"152","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"153","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"154","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"155","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"156","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"157","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"158","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"159","(3) 51 to 75 percent","(1) Every day","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"160","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"161","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"162","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"163","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"164","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"165","(1) 25 percent or less","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"166","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"167","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"168","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"169","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"170","(2) 26 to 50 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"171","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"172","(2) 26 to 50 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(4) Less than once a week","(5) Not at all"
"173","(2) 26 to 50 percent","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"174","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"175","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"176","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"177","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"178","(4) 76 percent or more","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"179","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"180","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"181","(3) 51 to 75 percent","(2) 3 or 4 times a week","(1) Every day","(5) Not at all","(5) Not at all"
"182","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"183","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"184","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"185","(3) 51 to 75 percent","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"186","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"187","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"188","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"189","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"190","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"191","(1) 25 percent or less","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"192","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"193","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"194","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week"
"195","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"196","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"197","(4) 76 percent or more","(2) 3 or 4 times a week","(1) Every day","(5) Not at all","(5) Not at all"
"198","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"199","(1) 25 percent or less","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"200","(2) 26 to 50 percent","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"201","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"202","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"203","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"204","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"205","(2) 26 to 50 percent","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"206","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"207","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"208","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"209","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"210","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"211","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"212","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"213","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"214","(4) 76 percent or more","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"215","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"216","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"217","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"218","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"219","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(4) Less than once a week"
"220","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"221","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"222","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"223","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"224","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"225","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"226","(2) 26 to 50 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"227","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"228","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"229","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"230","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"231","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(4) Less than once a week"
"232","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"233","(4) 76 percent or more","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"234","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"235","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"236","(1) 25 percent or less","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"237","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"238","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"239","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"240","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"241","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"242","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"243","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(4) Less than once a week","(5) Not at all"
"244","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"245","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"246","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"247","(3) 51 to 75 percent","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"248","(2) 26 to 50 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"249","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"250","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"251","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"252","(2) 26 to 50 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"253","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"254","(4) 76 percent or more","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"255","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"256","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"257","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"258","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"259","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"260","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
